
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Churchill County, NV (32001)	1968	107	9,740	1,098.6
	1969	80	10,177	786.1
	1970	111	10,523	1,054.8
	1971	109	11,228	970.8
	1972	102	11,660	874.8
	1973	98	11,826	828.7
	1974	105	11,899	882.4
	1975	127	11,972	1,060.8
	1976	128	11,987	1,067.8
	1977	135	12,164	1,109.8
	1978	117	12,794	914.5
	Total	1,219	125,970	967.7
Clark County, NV (32003)	1968	1,641	249,482	657.8
	1969	1,755	262,839	667.7
	1970	1,915	273,806	699.4
	1971	1,954	293,365	666.1
	1972	1,980	307,355	644.2
	1973	2,190	319,160	686.2
	1974	2,214	336,689	657.6
	1975	2,267	351,115	645.7
	1976	2,354	369,834	636.5
	1977	2,569	390,341	658.1
	1978	2,660	413,478	643.3
	Total	23,499	3,567,464	658.7
Douglas County, NV (32005)	1968	47	5,873	800.3
	1969	58	6,416	904.0
	1970	50	6,898	724.8
	1971	63	7,766	811.2
	1972	48	8,748	548.7
	1973	54	10,101	534.6
	1974	64	11,116	575.7
	1975	66	12,048	547.8
	1976	81	13,093	618.7
	1977	78	14,316	544.8
	1978	103	16,057	641.5
	Total	712	112,432	633.3
Elko County, NV (32007)	1968	141	14,072	1,002.0
	1969	136	13,987	972.3
	1970	147	13,957	1,053.2
	1971	119	13,972	851.7
	1972	128	15,126	846.2
	1973	157	15,446	1,016.4
	1974	117	15,731	743.8
	1975	146	15,587	936.7
	1976	160	15,775	1,014.3
	1977	132	15,500	851.6
	1978	141	15,867	888.6
	Total	1,524	165,020	923.5
Esmeralda County, NV (32009)	1968	5	718	696.4 (Unreliable)
	1969	8	664	1,204.8 (Unreliable)
	1970	9	637	1,412.9 (Unreliable)
	1971	8	599	1,335.6 (Unreliable)
	1972	10	584	1,712.3 (Unreliable)
	1973	9	663	1,357.5 (Unreliable)
	1974	11	674	1,632.0 (Unreliable)
	1975	9	678	1,327.4 (Unreliable)
	1976	10	689	1,451.4 (Unreliable)
	1977	9	689	1,306.2 (Unreliable)
	1978	8	712	1,123.6 (Unreliable)
	Total	96	7,307	1,313.8
Eureka County, NV (32011)	1968	10	999	1,001.0 (Unreliable)
	1969	11	972	1,131.7 (Unreliable)
	1970	8	956	836.8 (Unreliable)
	1971	11	920	1,195.7 (Unreliable)
	1972	4	896	446.4 (Unreliable)
	1973	9	1,028	875.5 (Unreliable)
	1974	12	1,047	1,146.1 (Unreliable)
	1975	10	1,076	929.4 (Unreliable)
	1976	9	1,109	811.5 (Unreliable)
	1977	8	1,128	709.2 (Unreliable)
	1978	4	937	426.9 (Unreliable)
	Total	96	11,068	867.4
Humboldt County, NV (32013)	1968	76	6,375	1,192.2
	1969	77	6,348	1,213.0
	1970	71	6,384	1,112.2
	1971	80	6,414	1,247.3
	1972	104	6,618	1,571.5
	1973	65	6,780	958.7
	1974	77	7,004	1,099.4
	1975	70	7,393	946.8
	1976	74	7,446	993.8
	1977	71	7,642	929.1
	1978	62	7,966	778.3
	Total	827	76,370	1,082.9
Lander County, NV (32015)	1968	24	2,724	881.1
	1969	24	2,680	895.5
	1970	20	2,661	751.6
	1971	33	2,633	1,253.3
	1972	24	2,674	897.5
	1973	22	2,704	813.6
	1974	33	2,792	1,181.9
	1975	22	3,053	720.6
	1976	16	3,229	495.5 (Unreliable)
	1977	32	3,312	966.2
	1978	20	3,488	573.4
	Total	270	31,950	845.1
Lincoln County, NV (32017)	1968	24	2,855	840.6
	1969	35	2,677	1,307.4
	1970	20	2,565	779.7
	1971	37	2,381	1,554.0
	1972	36	2,336	1,541.1
	1973	31	2,368	1,309.1
	1974	21	2,539	827.1
	1975	34	2,768	1,228.3
	1976	33	2,924	1,128.6
	1977	24	3,027	792.9
	1978	35	3,454	1,013.3
	Total	330	29,894	1,103.9
Lyon County, NV (32019)	1968	55	6,952	791.1
	1969	81	7,645	1,059.5
	1970	73	8,225	887.5
	1971	82	9,267	884.9
	1972	100	9,612	1,040.4
	1973	90	10,031	897.2
	1974	101	10,210	989.2
	1975	78	10,361	752.8
	1976	87	10,514	827.5
	1977	93	10,799	861.2
	1978	104	11,284	921.7
	Total	944	104,900	899.9
Mineral County, NV (32021)	1968	68	7,756	876.7
	1969	60	7,362	815.0
	1970	55	7,045	780.7
	1971	91	6,682	1,361.9
	1972	66	6,923	953.3
	1973	71	7,022	1,011.1
	1974	65	6,995	929.2
	1975	50	6,799	735.4
	1976	50	6,530	765.7
	1977	67	6,056	1,106.3
	1978	51	5,946	857.7
	Total	694	75,116	923.9
Nye County, NV (32023)	1968	60	6,793	883.3
	1969	60	6,053	991.2
	1970	68	5,583	1,218.0
	1971	44	4,928	892.9
	1972	30	4,991	601.1
	1973	41	4,942	829.6
	1974	68	5,162	1,317.3
	1975	54	5,479	985.6
	1976	40	5,771	693.1
	1977	60	5,887	1,019.2
	1978	63	7,429	848.0
	Total	588	63,018	933.1
Pershing County, NV (32027)	1968	38	2,754	1,379.8
	1969	44	2,703	1,627.8
	1970	39	2,674	1,458.5
	1971	37	2,637	1,403.1
	1972	44	2,705	1,626.6
	1973	48	2,597	1,848.3
	1974	31	2,612	1,186.8
	1975	39	2,840	1,373.2
	1976	35	2,911	1,202.3
	1977	36	3,000	1,200.0
	1978	39	3,078	1,267.1
	Total	430	30,511	1,409.3
Storey County, NV (32029)	1968	18	736	2,445.7 (Unreliable)
	1969	9	712	1,264.0 (Unreliable)
	1970	13	696	1,867.8 (Unreliable)
	1971	12	680	1,764.7 (Unreliable)
	1972	8	749	1,068.1 (Unreliable)
	1973	15	851	1,762.6 (Unreliable)
	1974	8	909	880.1 (Unreliable)
	1975	13	945	1,375.7 (Unreliable)
	1976	10	995	1,005.0 (Unreliable)
	1977	14	1,036	1,351.4 (Unreliable)
	1978	12	1,133	1,059.1 (Unreliable)
	Total	132	9,442	1,398.0
Washoe County, NV (32031)	1968	1,015	112,007	906.2
	1969	1,028	116,986	878.7
	1970	1,024	121,272	844.4
	1971	1,057	128,595	822.0
	1972	1,188	135,382	877.5
	1973	1,117	140,748	793.6
	1974	1,182	147,267	802.6
	1975	1,248	152,069	820.7
	1976	1,230	158,712	775.0
	1977	1,274	167,923	758.7
	1978	1,301	177,830	731.6
	Total	12,664	1,558,791	812.4
White Pine County, NV (32033)	1968	79	10,258	770.1
	1969	84	10,184	824.8
	1970	99	10,179	972.6
	1971	109	10,109	1,078.2
	1972	82	10,260	799.2
	1973	83	9,873	840.7
	1974	89	9,897	899.3
	1975	89	9,904	898.6
	1976	95	9,600	989.6
	1977	86	8,646	994.7
	1978	85	8,883	956.9
	Total	980	107,793	909.1
Carson City, NV (32510)	1968	126	12,306	1,023.9
	1969	141	14,054	1,003.3
	1970	134	15,474	866.0
	1971	134	18,425	727.3
	1972	136	19,970	681.0
	1973	164	22,112	741.7
	1974	140	23,779	588.8
	1975	157	25,452	616.8
	1976	166	26,115	635.7
	1977	188	27,376	686.7
	1978	251	30,043	835.5
	Total	1,737	235,106	738.8
Total		46,742	6,312,152	740.5
