
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Adams County, NE (31001)	1999	337	31,106	1,083.4
	2000	258	31,151	828.2
	2001	299	31,021	963.9
	2002	329	30,716	1,071.1
	2003	294	30,693	957.9
	2004	288	30,740	936.9
	2005	315	30,987	1,016.6
	2006	286	30,910	925.3
	2007	300	30,892	971.1
	2008	314	31,160	1,007.7
	2009	328	31,280	1,048.6
	2010	293	31,364	934.2
	2011	287	31,215	919.4
	2012	294	31,391	936.6
	Total	4,222	434,626	971.4
Antelope County, NE (31003)	1999	96	7,493	1,281.2
	2000	89	7,452	1,194.3
	2001	83	7,242	1,146.1
	2002	73	7,229	1,009.8
	2003	85	7,172	1,185.2
	2004	74	7,063	1,047.7
	2005	76	6,994	1,086.6
	2006	74	6,836	1,082.5
	2007	85	6,767	1,256.1
	2008	67	6,704	999.4
	2009	61	6,739	905.2
	2010	80	6,685	1,196.7
	2011	77	6,623	1,162.6
	2012	73	6,525	1,118.8
	Total	1,093	97,524	1,120.7
Arthur County, NE (31005)	Total	51	6,240	817.3
Banner County, NE (31007)	2008	10	677	1,477.1 (Unreliable)
	Total	60	10,438	574.8
Blaine County, NE (31009)	Total	64	7,212	887.4
Boone County, NE (31011)	1999	69	6,376	1,082.2
	2000	58	6,259	926.7
	2001	66	6,146	1,073.9
	2002	75	6,053	1,239.1
	2003	68	5,888	1,154.9
	2004	69	5,813	1,187.0
	2005	87	5,746	1,514.1
	2006	79	5,623	1,404.9
	2007	70	5,582	1,254.0
	2008	52	5,548	937.3
	2009	71	5,514	1,287.6
	2010	71	5,505	1,289.7
	2011	71	5,387	1,318.0
	2012	55	5,420	1,014.8
	Total	961	80,860	1,188.5
Box Butte County, NE (31013)	1999	131	12,374	1,058.7
	2000	137	12,158	1,126.8
	2001	132	11,985	1,101.4
	2002	123	11,951	1,029.2
	2003	127	11,719	1,083.7
	2004	116	11,528	1,006.2
	2005	119	11,422	1,041.8
	2006	114	11,338	1,005.5
	2007	113	11,409	990.4
	2008	130	11,482	1,132.2
	2009	112	11,347	987.0
	2010	125	11,308	1,105.4
	2011	119	11,300	1,053.1
	2012	113	11,312	998.9
	Total	1,711	162,633	1,052.1
Boyd County, NE (31015)	1999	40	2,458	1,627.3
	2000	28	2,438	1,148.5
	2001	35	2,390	1,464.4
	2002	39	2,352	1,658.2
	2003	36	2,304	1,562.5
	2004	41	2,246	1,825.5
	2005	34	2,219	1,532.2
	2006	43	2,143	2,006.5
	2007	26	2,109	1,232.8
	2008	22	2,102	1,046.6
	2009	29	2,075	1,397.6
	2010	32	2,099	1,524.5
	2011	26	2,083	1,248.2
	2012	32	2,058	1,554.9
	Total	463	31,076	1,489.9
Brown County, NE (31017)	1999	44	3,559	1,236.3
	2000	47	3,525	1,333.3
	2001	41	3,510	1,168.1
	2002	42	3,497	1,201.0
	2003	51	3,478	1,466.4
	2004	34	3,441	988.1
	2005	35	3,329	1,051.4
	2006	41	3,319	1,235.3
	2007	49	3,225	1,519.4
	2008	34	3,149	1,079.7
	2009	48	3,115	1,540.9
	2010	37	3,145	1,176.5
	2011	37	3,076	1,202.9
	2012	48	3,016	1,591.5
	Total	588	46,384	1,267.7
Buffalo County, NE (31019)	1999	333	41,904	794.7
	2000	323	42,259	764.3
	2001	302	42,418	712.0
	2002	325	42,949	756.7
	2003	364	43,251	841.6
	2004	329	43,753	751.9
	2005	308	44,131	697.9
	2006	342	44,645	766.0
	2007	365	45,060	810.0
	2008	370	45,343	816.0
	2009	345	45,970	750.5
	2010	348	46,102	754.8
	2011	330	46,816	704.9
	2012	347	47,574	729.4
	Total	4,731	622,175	760.4
Burt County, NE (31021)	1999	111	7,799	1,423.3
	2000	109	7,791	1,399.1
	2001	111	7,659	1,449.3
	2002	119	7,486	1,589.6
	2003	121	7,366	1,642.7
	2004	89	7,399	1,202.9
	2005	102	7,225	1,411.8
	2006	95	7,122	1,333.9
	2007	104	6,999	1,485.9
	2008	102	6,967	1,464.0
	2009	93	6,885	1,350.8
	2010	90	6,858	1,312.3
	2011	98	6,780	1,445.4
	2012	113	6,661	1,696.4
