
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Beaver County, UT (49001)	1968	36	3,812	944.4
	1969	39	3,801	1,026.0
	1970	50	3,823	1,307.9
	1971	41	3,857	1,063.0
	1972	40	3,894	1,027.2
	1973	41	4,003	1,024.2
	1974	33	3,984	828.3
	1975	39	4,080	955.9
	1976	40	4,077	981.1
	1977	38	4,083	930.7
	1978	38	4,196	905.6
	Total	435	43,610	997.5
Box Elder County, UT (49003)	1968	184	27,721	663.8
	1969	181	27,937	647.9
	1970	176	28,175	624.7
	1971	181	28,586	633.2
	1972	168	29,103	577.3
	1973	202	29,172	692.4
	1974	209	29,187	716.1
	1975	207	29,664	697.8
	1976	198	30,307	653.3
	1977	205	30,939	662.6
	1978	210	31,592	664.7
	Total	2,121	322,383	657.9
Cache County, UT (49005)	1968	282	41,326	682.4
	1969	285	41,900	680.2
	1970	256	42,734	599.1
	1971	257	43,649	588.8
	1972	266	45,678	582.3
	1973	279	47,094	592.4
	1974	303	48,352	626.7
	1975	272	49,789	546.3
	1976	293	51,144	572.9
	1977	296	52,811	560.5
	1978	294	54,155	542.9
	Total	3,083	518,632	594.4
Carbon County, UT (49007)	1968	146	15,281	955.4
	1969	130	15,479	839.8
	1970	168	15,678	1,071.6
	1971	152	16,077	945.5
	1972	174	16,809	1,035.2
	1973	178	17,183	1,035.9
	1974	166	17,380	955.1
	1975	200	18,018	1,110.0
	1976	167	19,053	876.5
	1977	183	20,162	907.6
	1978	179	21,265	841.8
	Total	1,843	192,385	958.0
Daggett County, UT (49009)	1968	3	675	444.4 (Unreliable)
	1969	4	684	584.8 (Unreliable)
	1970	5	664	753.0 (Unreliable)
	1971	6	649	924.5 (Unreliable)
	1972	2	621	322.1 (Unreliable)
	1973	2	705	283.7 (Unreliable)
	1974	3	722	415.5 (Unreliable)
	1975	4	733	545.7 (Unreliable)
	1976	2	747	267.7 (Unreliable)
	1977	3	755	397.4 (Unreliable)
	1978	5	705	709.2 (Unreliable)
	Total	39	7,660	509.1
Davis County, UT (49011)	1968	342	93,287	366.6
	1969	351	96,341	364.3
	1970	381	99,112	384.4
	1971	418	103,590	403.5
	1972	352	105,103	334.9
	1973	397	109,812	361.5
	1974	394	112,040	351.7
	1975	411	117,272	350.5
	1976	456	121,146	376.4
	1977	477	127,287	374.7
	1978	503	134,052	375.2
	Total	4,482	1,219,042	367.7
Duchesne County, UT (49013)	1968	56	6,766	827.7
	1969	56	7,044	795.0
	1970	74	7,326	1,010.1
	1971	56	7,904	708.5
	1972	82	8,741	938.1
	1973	70	11,104	630.4
	1974	87	12,180	714.3
	1975	67	12,544	534.1
	1976	59	12,960	455.2
	1977	76	12,570	604.6
	1978	77	12,830	600.2
	Total	760	111,969	678.8
Emery County, UT (49015)	1968	47	5,033	933.8
	1969	45	5,069	887.7
	1970	51	5,147	990.9
	1971	52	5,256	989.3
	1972	58	5,064	1,145.3
	1973	61	5,606	1,088.1
	1974	50	5,995	834.0
	1975	53	6,677	793.8
	1976	57	7,356	774.9
	1977	48	8,522	563.2
	1978	65	9,637	674.5
	Total	587	69,362	846.3
Garfield County, UT (49017)	1968	29	3,183	911.1
	1969	29	3,189	909.4
	1970	43	3,170	1,356.5
	1971	34	3,167	1,073.6
	1972	26	3,163	822.0
	1973	31	3,170	977.9
	1974	22	3,077	715.0
	1975	21	3,278	640.6
	1976	22	3,314	663.9
	1977	28	3,471	806.7
	1978	33	3,506	941.2
	Total	318	35,688	891.1
Grand County, UT (49019)	1968	43	7,329	586.7
	1969	41	6,962	588.9
	1970	26	6,687	388.8
	1971	40	6,300	634.9
	1972	46	6,148	748.2
	1973	38	5,968	636.7
	1974	25	5,901	423.7
	1975	48	6,279	764.5
	1976	51	6,681	763.4
	1977	41	7,049	581.6
	1978	49	7,661	639.6
	Total	448	72,965	614.0
