
                        
                      	Year	
                        
                      	
                        
                      	
                        
                      
Bristol County, RI (44001)	1968	385	45,564	845.0
	1969	381	45,653	834.6
	1970	389	45,822	848.9
	1971	359	46,141	778.0
	1972	392	46,648	840.3
	1973	399	46,691	854.6
	1974	334	46,577	717.1
	1975	365	46,638	782.6
	1976	413	47,111	876.7
	1977	379	47,744	793.8
	1978	415	47,730	869.5
	Total	4,211	512,319	821.9
Kent County, RI (44003)	1968	1,224	139,163	879.5
	1969	1,188	140,783	843.9
	1970	1,229	142,358	863.3
	1971	1,258	144,657	869.6
	1972	1,372	147,023	933.2
	1973	1,321	148,647	888.7
	1974	1,272	149,187	852.6
	1975	1,311	149,664	876.0
	1976	1,275	151,753	840.2
	1977	1,248	154,380	808.4
	1978	1,277	154,162	828.3
	Total	13,975	1,621,777	861.7
Newport County, RI (44005)	1968	677	91,660	738.6
	1969	681	93,005	732.2
	1970	647	94,265	686.4
	1971	691	97,117	711.5
	1972	642	97,611	657.7
	1973	672	98,541	681.9
	1974	632	80,281	787.2
	1975	600	79,454	755.2
	1976	649	82,061	790.9
	1977	686	82,904	827.5
	1978	671	82,372	814.6
	Total	7,248	979,271	740.1
Providence County, RI (44007)	1968	6,814	573,666	1,187.8
	1969	6,465	577,500	1,119.5
	1970	6,619	581,789	1,137.7
	1971	6,471	588,454	1,099.7
	1972	6,466	593,141	1,090.1
	1973	6,446	588,685	1,095.0
	1974	6,201	589,475	1,052.0
	1975	6,043	585,144	1,032.7
	1976	6,193	582,187	1,063.7
	1977	6,106	581,662	1,049.8
	1978	5,810	581,772	998.7
	Total	69,634	6,423,475	1,084.1
Washington County, RI (44009)	1968	628	83,865	748.8
	1969	585	84,911	689.0
	1970	608	85,866	708.1
	1971	576	87,414	658.9
	1972	668	90,474	738.3
	1973	671	93,498	717.7
	1974	668	86,160	775.3
	1975	579	83,604	692.6
	1976	670	86,057	778.6
	1977	649	88,345	734.6
	1978	700	91,136	768.1
	Total	7,002	961,330	728.4
Total		102,070	10,498,172	972.3
